,price,accommodates,bedrooms,bathrooms,minimum_nights,review_scores_rating
price,1.0,0.675312627687363,0.606366429685851,0.39084284186118806,0.020218023450723398,0.03080064155998256
accommodates,0.675312627687363,1.0,0.8292648983482894,0.4692242116038862,0.05765008209750153,-0.09931883614093975
bedrooms,0.606366429685851,0.8292648983482894,1.0,0.5191581058575482,0.1088229232936177,-0.05103946802478032
bathrooms,0.39084284186118806,0.4692242116038862,0.5191581058575482,1.0,0.08204213263634705,0.02638608976953402
minimum_nights,0.020218023450723398,0.05765008209750153,0.1088229232936177,0.08204213263634705,1.0,0.21781211586894106
review_scores_rating,0.03080064155998256,-0.09931883614093975,-0.05103946802478032,0.02638608976953402,0.21781211586894106,1.0
